Model,Accuracy,Precision,Recall,F1,ROC_AUC
GNB (0.50) -> CatBoost,0.8694869486948695,0.7848101265822784,0.3263157894736842,0.46096654275092935,0.8281273215612321
GNB (0.50) -> XGBoost,0.8721872187218722,0.8243243243243243,0.32105263157894737,0.4621212121212121,0.8273044173952797
GNB (0.30) -> CatBoost,0.8685868586858686,0.7558139534883721,0.34210526315789475,0.47101449275362317,0.8271386936396365
GNB (0.30) -> XGBoost,0.8721872187218722,0.8076923076923077,0.33157894736842103,0.4701492537313433,0.8262872164123664
GaussianNB (Base),0.828982898289829,0.5,0.49473684210526314,0.4973544973544973,0.8129178810217725
CatBoost (Base),0.8676867686768677,0.7362637362637363,0.3526315789473684,0.47686832740213525,0.8326190068003886
XGBoost (Base),0.8703870387038704,0.7555555555555555,0.35789473684210527,0.4857142857142857,0.8340705183153323
